,,,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,1,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,2,1,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,3,2,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,7,4,3,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6,7,4,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,6,7,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4,5,6,7,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3,4,5,6,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,3,4,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,2,3,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2,1,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,2,1,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,6,3,2,1,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,7,6,3,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,6,7,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,5,6,7,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4,5,6,7,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,4,5,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,1,4,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,0,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2,1,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,0,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,0,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,2,1,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,0,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,0,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,4,1,2,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5,4,1,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,6,5,4,0,4,3,2,1,0,0,0,0,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,7,6,5,6,5,4,3,0,0,0,0,0,0,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,8,7,6,7,6,5,4,0,0,0,0,0,0,0,2,1,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,9,8,7,8,7,6,5,4,0,0,0,0,0,0,0,2,0,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,6,9,8,9,8,7,6,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,5,6,9,10,9,8,7,0,0,0,0,0,0,0,0,6,0,4,3,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4,5,6,0,6,7,8,0,0,0,0,0,0,0,0,0,6,5,4,3,2,1,2,3,4,5,6,5,4,3,2,1,2,3,4,3,2,1,2,1,2,3,4,0,0,5,4,3,2,1,2,3,2,3,2,1,2,1,2,3,0,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
